SNO,Question Content,Option A,Option B,Option C,Option D,Number of correct answer,Correct Answers
188,"Universal Hiring uses Salesforce to capture job applications. A Salesforce administrator created two custom objectsJob_c' acting as the master object, 'Job_Application_c' acting as the detail. Within the 'Job_c' object, a custom multi-select picklist, 'Preferred_Locations_c', contains a list of approved states for the position. Each 'Job_Application_c' record relates to a Contact within the system through a master-detail relationship. Recruiters have requested the ability to view whether the Contact's Mailing State value matches a value selected on the 'Preferred_Locations_c' field, within the 'Job_Application_c' record. Recruiters would like this value to be kept in sync if changes occur to the Contact's Mailing State.   78 What is the recommended tool a developer should use to meet the business requirement?",Roll-up summary field,Apex trigger,Formula field,Record-trigered flow,1,C
189,Which two are phases in the Aura application event propagation framework? Choose 2 answers,Emit,Default,Bubble,Control,2,"B, C"
190,A developer needs to allow users to complete a form on an Account record that will create a record for a custom object. The form needs to display different fields depending on the user's job role. The functionality should only be available to a small group of users. Which three things should the developer do to satisfy these requirements?,Create a Custom Permission for the users.,Create a Lightning web component.,Add a Dynamic Action to the Users' assigned Page Layouts.,Create a Dynamic Form.,3,"A, B, D"
191,"A developer created this Apex trigger that calls MyClass.myStaticMethod: trigger myTrigger on Contact (before insert) { MyClass.myStaticMethod(trigger.new)} The developer creates a test class with a test method that calls MyClass.myStaticMethod directly, resulting in 81% overall code coverage. What happens when the developer tries to deploy the trigger and two classes to production, assuming no other code exists?",The deployment passes because both classes and the trigger were included in the,The deployment fails because no assertions were made in the test method.,The deployment fails because the Apex trigger has no code coverage.,The deployment passes because the Apex code has the required >75% code,1,C
192,"A developer created a new after insert trigger on the Lead object that creates Task records for each Lead. After deploying to production, an existing outside integration that inserts Lead records in batches to Salesforce is occasionally reporting total batch failures being caused by the Task insert statement. This causes the integration process in the outside system to stop, requiring a manual restart. Which change should the developer make to allow the integration to continue when some records in a batch cause failures due to the Task insert statement, so that manual restarts are not needed?",Use the Database method with allOrNone set to false.,Remove the Apex class from the integration user's profile.,Use a try-catch block after the insert statement.,Deactivate the trigger before the integration runs.,1,A
193,A developer is working on a project to import data from an external system into Salesforce. The data contains sensitive information that should not be visible to all users in Salesforce. What should the developer do to ensure that the data is secure?,Use the Salesforce CLI to import the data and set up user permissions to restrict,Use the Apex Data Loader to import the data and write Apex code to handle security,Use a third-party tool to encrypt the sensitive data before importing it into Salesforce.,Use the Data Import Wizard to import the data and set up field-level security to,1,D
194,"A developer is implementing an Apex class for a financial system. Within the class, the variables 'creditAmount' and 'debitAmount' should not be able to change once a value is assigned. In which two ways can the developer declare the variables to ensure their value can only be assigned one time?",Use the static keyword and assign its value in a static initializer.,Use the final keyword and assign its value when declaring the variable.,Use the final keyword and assign its value in the class constructor.,Use the static keyword and assign its value in the class constructor.,2,"B, C"
195,"""How is a controller and extension specified for a custom object named """"Notice"""" on a Visualforce page?""","""<apex:page standardController=""""Notice"""" extensions=""""myControllerExtension"""">""","""<apex:page controller=""""Notice_c"""" extensions=""""myControllerExtension"""">""","""<apex:page = """"Notice"""" extends=""""myControllerExtension"""">""","""<apex:page controllers = """"Notice, myControllerExtension"""">""",1,A
201,A developer is integrating with a legacy on-premise SQL database. What should the developer use to ensure the data being integrated is matched to the right records in Salesforce?,External ID field,Formula field,External Object,Lookup field,1,A
202,A developer has identified a method in an Apex class that performs resource intensive actions in memory by iterating over the result set of a SOQL statement on the account. The method also performs a DML statement to save the changes to the database. Which two techniques should the developer implement as a best practice to ensure transaction control and avoid exceeding governor limits?,Use the Database.savepoint method to enforce database integrity.,Use the System.Limit class to monitor the current CPU governor limit consumption.,Use the @ReadOnly annotation to bypass the number of rows returned by a SOQL.,Use partial DML statements to ensure only valid data is committed.,2,"A, B"
203,Which two Agentforce limitations should a developer consider when building an agent?,Custom actions that reference an Apex class or flow support only primitive data types.,The Agent API has a 90-second timeout.,Inbound messages sent via messaging channels have character limits.,Version control is supported for agents.,2,"A, B"
204,A developer is using Agentforce Dev Assistant and noticed that the output from their prompt resembles proprietary code. Which model training considerations should the developer be aware of when utilizing the extension?,Dev Assistant can reference the developer's prior prompts to generate output in near,Dev Assistant can reference other developers' code and train the model in near real,Dev Assistant generated output resembles the code that was used to train the model.,Dev Assistant anonymized PII data in customer code that was used to train the,1,C
205,Which two Agentforce limitations should a developer consider when building an agent? (Choose 2 options),Version control is supported for agents.,Inbound messages sent via messaging channels have character limits.,Custom actions that reference an Apex class or flow support only primitive data types.,The Agent API has a 90-second timeout.,2,"B, C"
206,"A developer receives an error when compiling the following code: switch on sObject { when Account a, Contact c { System.debug('account ' + a)System.debug('contact ' + c)} when null { System.debug('null')} when else { System.debug('default')} } What is the error?",Switch statements cannot contain multiple when values.,There is incompatible variable binding.,Only one sObject type per when block can be used.,There is an unexpected token 'Contact'.,1,C
207,"In terms of the MVC paradigm, what are two advantages of implementing the view layer of a Salesforce application using Lightning Web Component-based development over Visualforce?",Rich component ecosystem,Server-side run-time debugging,Self-contained and reusable units of an application,Automatic code generation,2,"A, C"
208,A developer has the following requirements: - Calculate the total amount on an Order. - Calculate the line amount for each Line Item based on quantity selected and price. - Move Line Items to a different Order if a Line Item is not in stock. Which relationship implementation supports these requirements on its own?,Line Item has a re-parentable lookup field to Order.,,,,1,A
209,The OrderHelper class is a utility class that contains business logic for processing orders. Consider the following code snippet: public class without sharing OrderHelper{ //code implementation } A developer needs to create a constant named DELIVERY_MULTIPLIER with a value of 4.15. The value of the constant should not change at any time in the code. How should the developer declare the DELIVERY_MULTIPLIER constant to meet the business objectives?,static final decimal DELIVERY_MULTIPLIER = 4.15,decimal DELIVERY_MULTIPLIER = 4.15,static decimal DELIVERY_MULTIPLIER = 4.15,,1,A
210,A developer created a lightning web component called statusComponent to be inserted into the Account record page. Which two things should the developer do to make this component available?,Add <masterLabel>Account</masterLabel> to the statusComponent.js-meta.xml file.,Add <target>Lightning_RecordPage</target> to the statusComponent.js file.,Add <target>Lightning_RecordPage</target> to the statusComponent.js-meta.xml,Set isExposed to true in the statusComponent.js-meta.xml file.,2,"C, D"
211,A developer must create a DrawList class that provides capabilities defined in the Sortable and Drawable interfaces. public interface Sortable{ void sort()} public interface Drawable{ void draw()} Which is the correct implementation?,"public class DrawList implements Sortable, implements Drawable {","public class DrawList implements Sortable, Drawable {","public class DrawList extends Sortable, extends Drawable {",public class DrawList extends SortableSalesforce,1,B
212,A developer is alerted to an issue with a custom Apex trigger that is causing records to be duplicated. What is the most appropriate debugging approach to troubleshoot the issue?,Use the Apex Interactive Debugger to step through the code and identify the issue.,Review the Historical Event logs to identify the source of the issue.,Disable the trigger in production and test to see if the issue still occurs.,Add system.debug statements to the code to track the execution flow and identify,1,D
213,Which two characteristics are true for Lightning Web Component custom events?,Data may be passed in the payload of a custom event using a property called detail.,By default a custom event only propagates to its immediate container and to its,Data may be passed in the payload of a custom event using @wire decorated,By default a custom event only propagates to its immediate container.,2,"A, D"
